Stream,Date,pH,Conductivity (uS/cm2),Temperature (Â°C),DO (mg/L),DO (% sat)
Pierson creek,6/1/21,7.3,643.7,15.1,,
Cicada Creek,6/23/21,5.96,1065,19.6,7.11,76.8
Chippewa ,6/23/21,6.78,1401,21.3,8.67,97.9
Big Creek,6/23/21,8.12,971.8,20.4,9.93,110.1
Rocky River,6/23/21,5.89,811.7,22.5,11.72,134.9
Baldwin Creek,6/23/21,7.38,1115,18.7,6.7,74.5
Yellow Dog,8/3/21,5.16,95.8,17.6,,
Clark,8/3/21,5.94,111.3,14.5,,
Big Garlic ,8/5/21,6.37,155.2,16.3,10.22,
Lost Stream ,8/5/21,4.44,119.5,18.1,9.88,
Salmon Trout,8/5/21,5.4,161,15.8,10.33,
Pine,8/4/21,6.75,92.95,14.8,,98.8
Mountain ,8/4/21,5.39,118.4,21.8,,
Big Pup ,8/3/21,5.6,112.7,15.3,,
Cedar,8/2/21,5.88,166.2,14.7,,
Elm,8/2/21,6.51,131,12.8,8.4,
Trout Brook,8/7/21,7.14,275.1,15,10.44,
Tenderfoot,8/8/21,5.2,110.3,21.8,7.08,
Pilgrim,8/11/21,7.86,299.9,15.8,10.63,
Hills,8/11/21,5.45,238.8,14.4,10.38,
Gratriot ,8/11/21,4.42,163.4,20.4,9.7,
Central,8/12/21,2.92,251.2,19.1,5.72,
Cliff,8/12/21,4.5,193.5,18.8,9.35,
Trap Rock,8/12/21,6.69,199.4,18.3,10.14,
Breakneck,8/17/21,5.26,406.4,21.2,,
Shady Brook,10/14/21,7.86,422.9,14.8,,
Cemetary Run,10/14/21,8.03,354.3,18.2,,
Chagrin,10/14/21,8.1,584,19.5,,
TC5,11/3/21,5.72,12.3,16.3,,
Crouch,11/2/21,7.04,46.9,13.9,,
U8,11/2/21,6.89,49.6,14.6,,
McQueen,11/2/21,6.16,33.8,15.2,,
Beaver Dam,11/3/21,6.4,196.2,12.4,,
U36,11/2/21,6.04,19.9,16.2,,